"denom","timestamp","price","marketCap","dayVolume"
"uosmo",1660471200000,0,0,0
"uosmo",1660474800000,0,0,0
"uosmo",1660478400000,0,0,0
"uosmo",1660482000000,0,0,0
"uosmo",1660485600000,0,0,0
"uosmo",1660489200000,0,0,0
"uosmo",1660492800000,0,0,0
"uosmo",1660496400000,0,0,0
"uosmo",1660500000000,0,0,0
"uosmo",1660503600000,0,0,0
"uosmo",1660507200000,0,0,0
"uosmo",1660510800000,0,0,0
"uosmo",1660514400000,0,0,0
"uosmo",1660518000000,0,0,0
"uosmo",1660521600000,0,0,0
"uosmo",1660525200000,0,0,0
"uosmo",1660528800000,0,0,0
"uosmo",1660532400000,0,0,0
"uosmo",1660536000000,0,0,0
"uosmo",1660539600000,0,0,0
"uosmo",1660543200000,0,0,0
"uosmo",1660546800000,0,0,0
"uosmo",1660550400000,0,0,0
"uosmo",1660554000000,0,0,0
"uosmo",1660557600000,0,0,0
"uosmo",1660561200000,0,0,0
"uosmo",1660564800000,0,0,0
"uosmo",1660568400000,0,0,0
"uosmo",1660572000000,0,0,0
"uosmo",1660575600000,0,0,0
"uosmo",1660579200000,0,0,0
"uosmo",1660582800000,0,0,0
"uosmo",1660586400000,0,0,0
"uosmo",1660590000000,0,0,0
"uosmo",1660593600000,0,0,0
"uosmo",1660597200000,0,0,0
"uosmo",1660600800000,0,0,0
"uosmo",1660604400000,0,0,0
"uosmo",1660608000000,0,0,0
"uosmo",1660611600000,0,0,0
"uosmo",1660615200000,0,0,0
"uosmo",1660618800000,0,0,0
"uosmo",1660622400000,0,0,0
"uosmo",1660626000000,0,0,0
"uosmo",1660629600000,0,0,0
"uosmo",1660633200000,0,0,0
"uosmo",1660636800000,0,0,0
"uosmo",1660640400000,0,0,0
"uosmo",1660644000000,0,0,0
"uosmo",1660647600000,0,0,0
"uosmo",1660651200000,0,0,0
"uregen",1659970800000,0,0,0
"uregen",1659974400000,0,0,0
"uregen",1659978000000,0,0,0
"uregen",1659981600000,0,0,0
"uregen",1659985200000,0,0,0
"uregen",1659988800000,0,0,0
"uregen",1659992400000,0,0,0
"uregen",1659996000000,0,0,0
"uregen",1659999600000,0,0,0
"uregen",1660003200000,0,0,0
"uregen",1660006800000,0,0,0
"uregen",1660010400000,0,0,0
"uregen",1660014000000,0,0,0
"uregen",1660017600000,0,0,0
"uregen",1660021200000,0,0,0
"uregen",1660024800000,0,0,0
"uregen",1660028400000,0,0,0
"uregen",1660032000000,0,0,0
"uregen",1660035600000,0,0,0
"uregen",1660039200000,0,0,0
"uregen",1660042800000,0,0,0
"uregen",1660046400000,0,0,0
"uregen",1660050000000,0,0,0
"uregen",1660053600000,0,0,0
"uregen",1660057200000,0,0,0
"uregen",1660060800000,0,0,0
"uregen",1660064400000,0,0,0
"uregen",1660068000000,0,0,0
"uregen",1660071600000,0,0,0
"uregen",1660075200000,0,0,0
"uregen",1660078800000,0,0,0
"uregen",1660082400000,0,0,0
"uregen",1660086000000,0,0,0
"uregen",1660089600000,0,0,0
"uregen",1660093200000,0,0,0
"uregen",1660096800000,0,0,0
"uregen",1660100400000,0,0,0
"uregen",1660104000000,0,0,0
"uregen",1660107600000,0,0,0
"uregen",1660111200000,0,0,0
"uregen",1660114800000,0,0,0
"uregen",1660118400000,0,0,0
"uregen",1660122000000,0,0,0
"uregen",1660125600000,0,0,0
"uregen",1660129200000,0,0,0
"uregen",1660132800000,0,0,0
"uregen",1660136400000,0,0,0
"uregen",1660140000000,0,0,0
"uregen",1660143600000,0,0,0
"uregen",1660147200000,0,0,0
"uregen",1660150800000,0,0,0
"uregen",1660154400000,0,0,0
"uregen",1660158000000,0,0,0
"uregen",1660161600000,0,0,0
